"LEAGUE","NAME","DY+/-","PLAYER ID","POS","SEASON","GP","EV P1/GP","PP P1/GP","P1/GP","EV G","EV A1","EV A2","EV P1","PP G","PP A1","PP A2","PP P1","SH G","SH A1","SH A2","EV S","EV S%","PP S%","PP S","TS","S%","TG","TP1","TP","TP/GP","TS/GP","EV%","Goals/P1","EV GF","EV GA","EV GF%","EV GF%Rel","OFF EV GF","OFF EV GA","eTOI/GP","P1/e60","DOB","AGE SEPT 15","AGE DEC 31","#","TEAM","HT","SHOOTS","DRAFT YEAR","NHL DRAFT","DRAFT TEAM","NHL TEAM","HEATMAP"
"OHL","Tyson Foerster","DY","45361/tyson-foerster","F","2020","62","0.5806","0.4194","1.0161","17","19","9","36","18","8","8","26","1","0","0","149","11.41","25.35","71","225","16.00","36","63","80","1.2903","3.63","58.06","56.45","64","74","46.38","- 0.43","88","100","20.42","2.9850","2002-01-18","18.66","18.95","71","BAR","5'11","R","2020","","","-","pick224.com/images/45361_tyson-foerster2020.png"
"WHL","Tristen Robins","DY","45268/tristen-robins","F","2020","62","0.6613","0.2581","0.9194","23","18","7","41","10","6","9","16","0","0","0","0","0.00","0.00","0","233","14.16","33","57","73","1.1774","3.76","71.93","57.89","68","51","57.14","9.74","82","91","18.16","3.0372","2001-11-15","18.83","19.13","11","SAS","5'10","R","2020","","","-",""
"OHL","Jan Mysak","DY","45618/jan-mysak","F","2020","22","0.5455","0.2273","0.9091","8","4","2","12","4","1","3","5","3","0","0","48","16.67","28.57","14","67","22.39","15","20","25","1.1364","3.05","70.59","70.59","19","29","39.58","- 0.96","30","44","20.42","2.6707","2002-06-24","18.23","18.52","19","HAM","6'00","L","2020","","","-","pick224.com/images/45618_jan-mysak2020.png"
"WHL","Pavel Novak","DY","46119/pavel-novak","F","2020","55","0.6000","0.2909","0.9091","16","17","5","33","8","8","3","16","1","0","0","0","0.00","0.00","0","155","16.13","25","50","58","1.0545","2.82","67.35","48.98","46","33","58.23","17.37","67","97","15.88","3.4349","2002-04-16","18.41","18.71","11","KEL","5'10","R","2020","","","-",""
"WHL","Ridly Greig","DY","45666/ridly-greig","F","2020","56","0.5179","0.3393","0.8929","15","14","3","29","9","10","7","19","2","0","0","0","0.00","0.00","0","199","13.07","26","50","60","1.0714","3.55","60.42","50.00","51","36","58.62","2.81","96","76","16.66","3.2146","2002-08-08","18.10","18.40","17","BDN","5'11","L","2020","","","-",""
"OHL","Martin Chromiak","DY","47656/martin-chromiak","F","2020","28","0.6786","0.2143","0.8929","7","12","3","19","4","2","5","6","0","0","0","61","11.48","21.05","19","80","13.75","11","25","33","1.1786","2.86","76.00","44.00","35","34","50.72","17.71","35","71","19.49","2.7483","2002-08-20","18.07","18.36","8","KGN","6'00","R","2020","","","-","pick224.com/images/47656_martin-chromiak2020.png"
"OHL","James Hardie","DY","45363/james-hardie","F","2020","59","0.6271","0.2542","0.8814","23","14","9","37","11","4","2","15","0","0","0","197","11.68","22.92","48","252","13.49","34","52","63","1.0678","4.27","71.15","65.38","66","54","55.00","7.91","97","109","19.49","2.7128","2002-01-18","18.66","18.95","14","MISS","5'11","L","2020","","","-","pick224.com/images/45363_james-hardie2020.png"
"WHL","Ozzy Wiesblatt","DY","45468/ozzy-wiesblatt","F","2020","64","0.5469","0.3281","0.8750","15","20","8","35","10","11","6","21","0","0","0","0","0.00","0.00","0","177","14.12","25","56","70","1.0938","2.77","62.50","44.64","59","37","61.46","4.32","100","75","16.21","3.2384","2002-03-09","18.52","18.81","19","PA","5'10","R","2020","","","-",""
"OHL","Tyler Tullio","DY","45513/tyler-tullio","F","2020","62","0.6935","0.1613","0.8548","19","24","5","43","8","2","8","10","0","0","0","164","11.59","18.18","44","213","12.68","27","53","66","1.0645","3.44","81.13","50.94","66","65","50.38","3.32","88","99","20.84","2.4616","2002-04-05","18.44","18.74","71","OSH","5'09","R","2020","","","-","pick224.com/images/45513_tyler-tullio2020.png"
"QMJHL","Ryan Francis","DY","45291/ryan-francis","F","2020","61","0.6721","0.1803","0.8525","21","20","14","41","3","8","5","11","0","0","1","137","15.33","13.04","23","163","14.72","24","52","72","1.1803","2.67","78.85","46.15","82","52","61.19","1.86","124","85","18.46","2.7707","2001-12-02","18.79","19.08","24","CAP","5'08","R","2020","","","-","pick224.com/images/45291_ryan-francis2020.png"
"WHL","Kyle Crnkovic","DY","45422/kyle-crnkovic","F","2020","63","0.4921","0.3016","0.8095","15","16","7","31","5","14","6","19","1","0","0","0","0.00","0.00","0","157","13.38","21","51","64","1.0159","2.49","62.00","40.00","56","46","54.90","5.42","96","98","15.78","3.0772","2002-02-10","18.60","18.89","16","SAS","5'06","L","2020","","","-",""
"WHL","Connor McClennon","DY","45620/connor-mcclennon","F","2020","42","0.4762","0.2619","0.8095","15","5","10","20","5","6","5","11","1","2","0","0","0.00","0.00","0","145","14.48","21","34","49","1.1667","3.45","64.52","64.52","39","31","55.71","6.42","70","72","16.10","3.0161","2002-06-25","18.22","18.52","94","WPG","5'08","R","2020","","","-",""
"OHL","Brandon Coe","DY","45290/brandon-coe","F","2020","60","0.6167","0.1667","0.7833","21","16","7","37","4","6","3","10","0","0","0","118","17.80","10.53","38","158","15.82","25","47","57","0.9500","2.63","78.72","53.19","60","73","45.11","13.22","74","158","18.72","2.5105","2001-12-01","18.79","19.08","21","NB","6'03","R","2020","","","-","pick224.com/images/45290_brandon-coe2020.png"
"OHL","Rory Kerins","DY","45537/rory-kerins","F","2020","64","0.6563","0.1250","0.7813","26","16","2","42","4","4","6","8","0","0","1","92","28.26","10.00","40","132","22.73","30","50","59","0.9219","2.06","84.00","60.00","68","63","51.91","4.08","110","120","17.89","2.6205","2002-04-23","18.39","18.69","23","SOO","5'11","L","2020","","","-","pick224.com/images/45537_rory-kerins2020.png"
"QMJHL","William Dufour","DY","45391/william-dufour","F","2020","59","0.6441","0.1017","0.7458","25","13","8","38","3","3","3","6","0","0","0","130","19.23","21.43","14","144","19.44","28","44","55","0.9322","2.44","86.36","63.64","54","36","60.00","4.23","116","92","16.18","2.7664","2002-01-28","18.63","18.93","28","CHI/DRU","6'02","R","2020","","","-","pick224.com/images/45391_william-dufour2020.png"
"WHL","Justin Sourdif","DY","45488/justin-sourdif","F","2020","57","0.6316","0.1053","0.7368","22","14","11","36","4","2","1","6","0","0","0","0","0.00","0.00","0","163","15.95","26","42","54","0.9474","2.86","85.71","61.90","59","28","67.82","19.59","68","73","16.18","2.7327","2002-03-24","18.48","18.77","42","VAN","5'11","R","2020","","","-",""
"OHL","Zayde Wisdom","DY","45580/zayde-wisdom","F","2020","62","0.5484","0.1613","0.7258","20","14","11","34","8","2","3","10","1","0","0","148","13.51","24.24","33","193","15.03","29","45","59","0.9516","3.11","77.27","63.64","63","68","48.09","11.81","82","144","19.30","2.2567","2002-05-20","18.32","18.61","74","KGN","5'10","R","2020","","","-","pick224.com/images/45580_zayde-wisdom2020.png"
"WHL","Jake Neighbours","DY","45501/jake-neighbours","F","2020","64","0.5000","0.1875","0.7031","19","13","18","32","3","9","7","12","1","0","0","0","0.00","0.00","0","228","10.09","23","45","70","1.0938","3.56","72.73","50.00","64","46","58.18","1.11","109","82","16.99","2.4825","2002-03-29","18.46","18.76","21","EDM","5'11","L","2020","","","-",""
"OHL","Jaromir Pytlik","DY","45185/jaromir-pytlik","F","2020","56","0.3750","0.2857","0.6964","12","9","11","21","8","8","0","16","2","0","0","137","8.76","17.39","46","189","11.64","22","39","50","0.8929","3.38","56.76","54.05","58","51","53.21","4.92","99","106","18.73","2.2309","2001-09-25","18.97","19.27","26","SOO","6'03","R","2020","","","-","pick224.com/images/45185_jaromir-pytlik2020.png"
"QMJHL","Hendrix Lapierre","DY","45420/hendrix-lapierre","F","2020","19","0.6316","0.0526","0.6842","2","10","2","12","0","1","2","1","0","0","0","36","5.56","0.00","8","44","4.55","2","13","17","0.8947","2.32","92.31","15.38","19","15","55.88","- 6.09","44","27","16.92","2.4261","2002-02-09","18.60","18.89","92","CHI","5'11","L","2020","","","-","pick224.com/images/45420_hendrix-lapierre2020.png"
"OHL","Evan Vierling","DY","45616/evan-vierling","F","2020","43","0.5581","0.1163","0.6744","13","11","7","24","1","4","8","5","0","0","0","79","16.46","3.23","31","115","12.17","14","29","44","1.0233","2.67","82.76","48.28","41","47","46.59","- 2.40","73","76","18.43","2.1959","2002-06-20","18.24","18.53","41","FLNT/BAR","6'00","L","2020","","","-","pick224.com/images/45616_evan-vierling2020.png"
"OHL","Reid Valade","DY","45475/reid-valade","F","2020","52","0.5962","0.0385","0.6731","16","15","2","31","1","1","2","2","1","1","0","107","14.95","8.33","12","126","14.29","18","35","39","0.7500","2.42","93.94","51.52","51","36","58.62","2.08","108","83","15.95","2.5326","2002-03-14","18.50","18.80","55","KIT","5'10","R","2020","","","-","pick224.com/images/45475_reid-valade2020.png"
"WHL","Jack Finley","DY","45683/jack-finley","F","2020","61","0.5902","0.0820","0.6721","15","21","11","36","4","1","5","5","0","0","0","0","0.00","0.00","0","122","15.57","19","41","57","0.9344","2.00","87.80","46.34","69","31","69.00","10.95","119","86","15.18","2.6571","2002-09-02","18.04","18.33","26","SPO","6'05","R","2020","","","-",""
"QMJHL","Brady Burns","DY","45586/brady-burns","F","2020","64","0.4688","0.2031","0.6719","18","12","10","30","9","4","4","13","0","0","0","70","25.71","22.50","40","111","24.32","27","43","57","0.8906","1.73","69.77","62.79","57","58","49.57","7.26","110","150","16.14","2.4978","2002-05-27","18.30","18.59","12","SNB","5'09","L","2020","","","-","pick224.com/images/45586_brady-burns2020.png"
"WHL","Joona Kiviniemi","DY","45307/joona-kiviniemi","F","2020","15","0.4000","0.2667","0.6667","3","3","0","6","3","1","0","4","0","0","0","0","0.00","0.00","0","35","17.14","6","10","10","0.6667","2.33","60.00","60.00","7","22","24.14","- 10.64","16","30","17.33","2.3079","2001-12-17","18.74","19.04","19","SC","6'01","L","2020","","","-",""
"WHL","Cross Hanas","DY","45330/cross-hanas","F","2020","60","0.5833","0.0833","0.6667","20","15","5","35","2","3","4","5","0","0","0","0","0.00","0.00","0","127","17.32","22","40","49","0.8167","2.12","87.50","55.00","54","33","62.07","- 1.28","140","81","13.97","2.8632","2002-01-05","18.69","18.99","71","POR","6'01","L","2020","","","-",""
"QMJHL","Vasili Ponomaryov","DY","45473/vasili-ponomaryov","F","2020","57","0.4211","0.2456","0.6667","13","11","8","24","5","9","3","14","0","0","0","118","11.02","18.52","27","149","12.08","18","38","49","0.8596","2.61","63.16","47.37","46","49","48.42","- 1.14","112","114","17.37","2.3032","2002-03-13","18.51","18.80","92","SHA","6'00","L","2020","","","-","pick224.com/images/45473_vasili-ponomaryov2020.png"
"OHL","Luke Evangelista","DY","45440/luke-evangelista","F","2020","62","0.5968","0.0161","0.6452","22","15","20","37","0","1","1","1","1","1","0","127","17.32","0.00","12","147","15.65","23","40","61","0.9839","2.37","97.37","57.89","82","68","54.67","- 5.86","115","75","18.49","2.0936","2002-02-21","18.57","18.86","14","LDN","5'11","R","2020","","","-","pick224.com/images/45440_luke-evangelista2020.png"
"OHL","Oliver Suni","DY","46004/oliver-suni","F","2020","43","0.3953","0.2326","0.6279","6","11","3","17","6","4","2","10","0","0","0","64","9.38","28.57","21","85","14.12","12","27","32","0.7442","1.98","62.96","44.44","27","34","44.26","- 8.37","80","72","15.71","2.3985","2002-02-13","18.59","18.88","19","OSH","6'02","R","2020","","","-","pick224.com/images/46004_oliver-suni2020.png"
"QMJHL","Patrick Guay","DY","45546/patrick-guay","F","2020","55","0.3091","0.3091","0.6182","12","5","0","17","9","8","6","17","0","0","0","120","10.00","28.13","32","156","13.46","21","34","40","0.7273","2.84","50.00","61.76","34","31","52.31","- 14.51","143","71","15.69","2.3644","2002-04-29","18.38","18.67","10","SHE","5'09","L","2020","","","-","pick224.com/images/45546_patrick-guay2020.png"
"OHL","Hayden Fowler","DY","45183/hayden-fowler","F","2020","52","0.4423","0.1731","0.6154","13","10","10","23","7","2","0","9","0","0","0","93","13.98","18.92","37","135","14.81","20","32","42","0.8077","2.60","71.88","62.50","42","47","47.19","- 4.55","104","97","18.60","1.9856","2001-09-24","18.98","19.27","14","ER","5'10","L","2020","","","-","pick224.com/images/45183_hayden-fowler2020.png"
"OHL","Logan Morrison","DY","45640/logan-morrison","F","2020","59","0.3729","0.2373","0.6102","14","8","4","22","9","5","5","14","0","0","0","96","14.58","17.31","52","148","15.54","23","36","45","0.7627","2.51","61.11","63.89","38","59","39.18","- 10.82","118","118","17.54","2.0873","2002-07-09","18.18","18.48","9","HAM","5'11","R","2020","","","-","pick224.com/images/45640_logan-morrison2020.png"
"QMJHL","William Villeneuve","DY","45482/william-villeneuve","D","2020","64","0.4531","0.1406","0.6094","8","21","10","29","0","9","8","9","1","0","1","127","6.30","0.00","26","162","5.56","9","39","58","0.9063","2.53","76.32","21.05","79","85","48.17","6.46","88","123","23.41","1.5621","2002-03-20","18.49","18.78","13","SNB","6'01","R","2020","","","-","pick224.com/images/45482_william-villeneuve2020.png"
"QMJHL","Jeremie Poirier","DY","45599/jeremie-poirier","D","2020","64","0.4063","0.2031","0.6094","15","11","11","26","5","8","3","13","0","0","0","195","7.69","7.69","65","261","7.66","20","39","53","0.8281","4.08","66.67","51.28","80","101","44.20","- 0.65","87","107","25.00","1.4626","2002-06-02","18.29","18.58","54","SNB","6'00","L","2020","","","-","pick224.com/images/45599_jeremie-poirier2020.png"
"QMJHL","Charles Beaudoin","DY","45439/charles-beaudoin","F","2020","63","0.5079","0.0952","0.6032","18","14","5","32","3","3","1","6","0","0","0","107","16.82","12.50","24","131","16.03","21","38","44","0.6984","2.08","84.21","55.26","52","47","52.53","5.33","118","132","15.20","2.3809","2002-02-21","18.57","18.86","79","SHA","6'00","R","2020","","","-","pick224.com/images/45439_charles-beaudoin2020.png"
"WHL","Lukas Svejkovsky","DY","45283/lukas-svejkovsky","F","2020","52","0.5385","0.0577","0.5962","15","13","7","28","3","0","0","3","0","0","0","0","0.00","0.00","0","151","11.92","18","31","38","0.7308","2.90","90.32","58.06","54","26","67.50","13.21","95","80","15.12","2.3650","2001-11-23","18.81","19.11","20","VAN/MH","5'09","R","2020","","","-",""
"OHL","Jamie Drysdale","DY","45516/jamie-drysdale","D","2020","49","0.4082","0.1837","0.5918","6","14","6","20","3","6","12","9","0","0","0","99","6.06","8.33","36","136","6.62","9","29","47","0.9592","2.78","68.97","31.03","56","45","55.45","10.50","80","98","22.40","1.5851","2002-04-08","18.44","18.73","4","ER","5'11","R","2020","","","-","pick224.com/images/45516_jamie-drysdale2020.png"
"OHL","Jean-Luc Foudy","DY","45569/jean-luc-foudy","F","2020","59","0.4068","0.1525","0.5763","12","12","5","24","2","7","4","9","1","0","0","102","11.76","14.29","14","121","12.40","15","34","43","0.7288","2.05","72.73","42.42","45","50","47.37","- 9.03","141","109","15.37","2.2492","2002-05-13","18.34","18.63","93","WSR","5'11","R","2020","","","-","pick224.com/images/45569_jean-luc-foudy2020.png"
"QMJHL","Adam Raska","DY","45184/adam-raska","F","2020","35","0.3714","0.1714","0.5714","8","5","1","13","5","1","0","6","0","1","0","43","18.60","31.25","16","62","20.97","13","20","21","0.6000","1.77","68.42","68.42","26","15","63.41","0.13","81","47","14.90","2.3012","2001-09-25","18.97","19.27","42","RIM","5'10","R","2020","","","-","pick224.com/images/45184_adam-raska2020.png"
"OHL","Declan McDonnell","DY","45451/declan-mcdonnell","F","2020","63","0.4762","0.0952","0.5714","15","15","6","30","6","0","0","6","0","0","0","125","12.00","30.00","20","147","14.29","21","36","42","0.6667","2.33","83.33","58.33","50","38","56.82","0.07","143","109","14.70","2.3319","2002-02-25","18.56","18.85","25","KIT","5'10","R","2020","","","-","pick224.com/images/45451_declan-mcdonnell2020.png"
"OHL","Ethan Cardwell","DY","45681/ethan-cardwell","F","2020","63","0.4286","0.1111","0.5556","17","10","11","27","5","2","1","7","1","0","0","133","12.78","19.23","26","166","13.86","23","35","47","0.7460","2.63","79.41","64.71","53","54","49.53","- 1.48","126","121","15.93","2.0928","2002-08-30","18.04","18.33","11","SAG/BAR","5'10","R","2020","","","-","pick224.com/images/45681_ethan-cardwell2020.png"
"OHL","Will Cuylle","DY","45413/will-cuylle","F","2020","62","0.4194","0.1290","0.5484","15","11","3","26","7","1","5","8","0","0","0","167","8.98","21.21","33","200","11.00","22","34","42","0.6774","3.23","76.47","64.71","47","45","51.09","- 3.53","148","123","15.86","2.0749","2002-02-05","18.61","18.91","13","WSR","6'02","L","2020","","","-","pick224.com/images/45413_will-cuylle2020.png"
"WHL","Owen Pederson","DY","45497/owen-pederson","F","2020","61","0.3607","0.1311","0.5410","19","3","14","22","6","2","3","8","3","0","0","0","0.00","0.00","0","166","16.87","28","33","50","0.8197","2.72","73.33","83.33","56","49","53.33","3.33","101","101","15.98","2.0318","2002-03-27","18.47","18.76","17","WPG","6'03","L","2020","","","-",""
"WHL","Michal Gut","DY","46161/michal-gut","F","2020","51","0.3922","0.1373","0.5294","9","11","4","20","4","3","5","7","0","0","0","0","0.00","0.00","0","104","12.50","13","27","36","0.7059","2.04","74.07","48.15","30","15","66.67","4.88","97","60","12.45","2.5516","2002-08-16","18.08","18.38","62","EVT","6'00","L","2020","","","-",""
"WHL","Robbie Fromm-Delorme","DY","45455/robbie-fromm-delorme","F","2020","55","0.4000","0.1273","0.5273","7","15","7","22","3","4","0","7","0","0","0","0","0.00","0.00","0","129","7.75","10","29","36","0.6545","2.35","75.86","34.48","36","36","50.00","- 16.83","137","68","13.48","2.3466","2002-03-02","18.54","18.83","11","POR","6'01","R","2020","","","-",""
"WHL","Ben King","DY","45573/ben-king","F","2020","62","0.3871","0.0968","0.5161","16","8","7","24","4","2","7","6","0","2","0","0","0.00","0.00","0","165","12.12","20","32","46","0.7419","2.66","80.00","66.67","43","59","42.16","2.25","83","125","16.13","1.9195","2002-05-15","18.33","18.63","14","SC/RD","6'01","R","2020","","","-",""
"WHL","Carter Souch","DY","45246/carter-souch","F","2020","64","0.2969","0.2188","0.5156","11","8","4","19","7","7","2","14","0","0","0","0","0.00","0.00","0","169","10.65","18","33","39","0.6094","2.64","57.58","54.55","29","24","54.72","- 3.35","144","104","12.41","2.4937","2001-10-28","18.88","19.18","44","EDM","5'09","L","2020","","","-",""
"QMJHL","Theo Rochette","DY","45437/theo-rochette","F","2020","49","0.3878","0.1224","0.5102","12","7","6","19","2","4","8","6","0","0","0","58","20.69","11.76","17","78","17.95","14","25","39","0.7959","1.59","76.00","56.00","34","43","44.16","- 9.22","87","76","15.93","1.9218","2002-02-20","18.57","18.86","9","CHI/QUE","5'10","L","2020","","","-","pick224.com/images/45437_theo-rochette2020.png"
"OHL","Aidan Prueter","DY","45314/aidan-prueter","F","2020","55","0.4364","0.0727","0.5091","9","15","5","24","3","1","0","4","0","0","0","112","8.04","16.67","18","134","8.96","12","28","33","0.6000","2.44","85.71","42.86","48","56","46.15","- 3.85","100","100","17.07","1.7892","2001-12-21","18.73","19.03","94","MISS","5'10","L","2020","","","-","pick224.com/images/45314_aidan-prueter2020.png"
"QMJHL","Senna Peeters","DY","48955/senna-peeters","F","2020","57","0.3333","0.1754","0.5088","13","6","2","19","10","0","2","10","0","0","0","107","12.15","28.57","35","143","16.08","23","29","33","0.5789","2.51","65.52","79.31","24","62","27.91","- 12.96","85","123","17.03","1.7926","2002-06-14","18.25","18.55","82","HAL","6'01","R","2020","","","-","pick224.com/images/45897_senna-peeters2020.png"
"OHL","Antonio Stranges","DY","45410/antonio-stranges","F","2020","61","0.4754","0.0328","0.5082","17","12","6","29","2","0","3","2","0","0","0","138","12.32","16.67","12","152","12.50","19","31","40","0.6557","2.49","93.55","61.29","50","50","50.00","- 10.76","144","93","15.05","2.0263","2002-02-05","18.61","18.91","40","LDN","5'10","L","2020","","","-","pick224.com/images/45410_antonio-stranges2020.png"
"QMJHL","Pier-Olivier Roy","DY","45469/pier-olivier-roy","F","2020","48","0.3750","0.1250","0.5000","7","11","6","18","4","2","4","6","0","0","0","53","13.21","36.36","11","65","16.92","11","24","34","0.7083","1.35","75.00","45.83","33","31","51.56","6.01","82","98","14.31","2.0963","2002-03-09","18.52","18.81","11","GAT","5'09","L","2020","","","-","pick224.com/images/45469_pier-olivier-roy2020.png"
"QMJHL","Valentin Demchenko","DY","48969/valentin-demchenko","F","2020","57","0.3860","0.1053","0.4912","14","8","4","22","2","4","2","6","0","0","0","118","11.86","12.50","16","136","11.76","16","28","34","0.5965","2.39","78.57","57.14","41","43","48.81","8.60","78","116","16.07","1.8344","2002-04-01","18.46","18.75","13","BAC","5'09","L","2020","","","-","pick224.com/images/45915_valentin-demchenko2020.png"
"QMJHL","Cole Cormier","DY","48953/cole-cormier","F","2020","64","0.2969","0.1719","0.4844","10","9","8","19","6","5","2","11","0","1","0","105","9.52","18.75","32","140","11.43","16","31","41","0.6406","2.19","63.33","53.33","38","31","55.07","4.85","115","114","14.35","2.0255","2002-02-21","18.57","18.86","20","RIM/QUE","5'09","L","2020","","","-","pick224.com/images/45894_cole-cormier2020.png"
"QMJHL","Thimo Nickl","DY","48986/thimo-nickl","D","2020","58","0.1724","0.2931","0.4828","4","6","3","10","6","11","8","17","0","1","0","78","5.13","18.75","32","111","9.01","10","28","39","0.6724","1.91","37.04","37.04","52","54","49.06","- 2.36","91","86","22.34","1.2964","2001-12-04","18.78","19.08","78","DRU","6'02","R","2020","","","-","pick224.com/images/45940_thimo-nickl2020.png"
"QMJHL","Lukas Cormier","DY","45496/lukas-cormier","D","2020","44","0.2273","0.2500","0.4773","5","5","7","10","1","10","8","11","0","0","0","128","3.91","2.38","42","174","3.45","6","21","36","0.8182","3.95","47.62","28.57","50","35","58.82","9.31","51","52","25.79","1.1104","2002-03-27","18.47","18.76","51","CHA","5'08","L","2020","","","-","pick224.com/images/45496_lukas-cormier2020.png"
"QMJHL","Jacob Dion","DY","45254/jacob-dion","D","2020","63","0.2222","0.2540","0.4762","7","7","11","14","10","6","10","16","0","0","0","87","8.05","25.64","39","128","13.28","17","30","51","0.8095","2.03","46.67","56.67","75","64","53.96","4.55","83","85","23.75","1.2032","2001-11-01","18.87","19.17","47","DRU","5'09","L","2020","","","-","pick224.com/images/45254_jacob-dion2020.png"
"OHL","Jake Uberti","DY","45464/jake-uberti","F","2020","57","0.3333","0.1404","0.4737","11","8","4","19","6","2","2","8","0","0","0","105","10.48","27.27","22","128","13.28","17","27","33","0.5789","2.25","70.37","62.96","34","63","35.05","- 2.19","89","150","15.68","1.8126","2002-03-07","18.52","18.82","73","NIAG","6'01","R","2020","","","-","pick224.com/images/45464_jake-uberti2020.png"
"OHL","Vitali Pinchuk","DY","46086/vitali-pinchuk","F","2020","54","0.3889","0.0741","0.4630","11","10","5","21","2","2","4","4","0","0","0","84","13.10","13.33","15","98","13.27","13","25","34","0.6296","1.81","84.00","52.00","38","47","44.71","5.56","92","143","14.62","1.9005","2002-01-11","18.68","18.97","81","KGN","5'11","L","2020","","","-","pick224.com/images/46086_vitali-pinchuk2020.png"
"WHL","Josh Pillar","DY","45427/josh-pillar","F","2020","63","0.3333","0.0952","0.4603","11","10","11","21","1","5","4","6","2","0","0","0","0.00","0.00","0","127","11.02","14","29","44","0.6984","2.02","77.78","44.44","50","35","58.82","- 1.63","133","87","13.51","2.0439","2002-02-14","18.59","18.88","9","KAM","5'11","R","2020","","","-",""
