"LEAGUE","NAME","PLAYER ID","POS","SEASON","DY+/-","GP","EV P1/GP","PP P1/GP","P1/GP","EV G","EV A1","EV A2","EV P1","PP G","PP A1","PP A2","PP P1","SH G","SH A1","SH A2","EV SH%","PP SH%","SH%","TG","TP1","TP","TP/GP","EV%","Goals/P1","EV GF","EV GA","EV GF%","EV GF%Rel","OFF EV GF","OFF EV GA","eTOI/GP","P1/e60","DOB","AGE SEPT 15","AGE DEC 31","#","TEAM","HT","SHOOTS","DRAFT YEAR","NHL DRAFT","DRAFT TEAM","NHL TEAM","HEATMAP"
"QMJHL","Evgeni Svechnikov","36398/yevgeni-svechnikov","F","2015","DY","55","0.6182","0.3455","0.9818","22","12","17","34","10","9","5","19","0","1","2","15.17","28.57","17.49","32","54","78","1.4182","64.15","60.38","62","41","60.19","15.81","83","104","19.10","3.0838","1996-10-31","18.88","19.17","37","CAP","-","L","2015","DET (2015) - #19","DET","DET","http://pick224.com/images/Q-2015/36398_yevgeni-svechnikov2015.png"
"QMJHL","Daniel Audette","35497/daniel-audette","F","2014","DY","68","0.5000","0.4118","0.9559","13","21","3","34","7","21","5","28","1","2","3","8.02","14.89","9.38","21","65","76","1.1176","54.84","32.26","48","83","36.64","5.83","57","128","21.04","2.7262","1996-05-06","18.36","18.65","28","SHE","-","L","2014","MTL (2014) - #147","MTL","-","http://pick224.com/images/Q-2014/35497_daniel-audette2014.png"
"QMJHL","Jean Gabriel Pageau","28194/jean-gabriel-pageau","F","2011","DY","67","0.5373","0.3731","0.9403","19","17","10","36","12","13","6","25","1","1","0","0.00","0.00","17.11","32","63","79","1.1791","59.02","50.82","62","40","60.78","7.13","110","95","19.79","2.8509","1992-11-11","18.84","19.14","11","","-","R","2011","OTT (2011) - #96","OTT","NYI",""
"QMJHL","Kay Schweri","36571/kay-schweri","F","2015","DY","53","0.5849","0.2830","0.9245","7","24","9","31","3","12","5","15","2","1","5","12.07","25.00","15.79","12","49","68","1.2830","67.39","21.74","53","38","58.24","16.84","65","92","18.20","3.0478","1996-12-28","18.71","19.01","89","SHE","-","L","2015","","","-","http://pick224.com/images/Q-2015/36571_kay-schweri2015.png"
"QMJHL","Brandon Hynes","27947/brandon-hynes","F","2010","DY","68","0.5588","0.3382","0.8971","27","11","4","38","14","9","10","23","0","0","0","0.00","0.00","13.85","41","61","75","1.1029","62.30","67.21","58","35","62.37","3.19","129","89","18.45","2.9167","1992-09-14","18.00","18.30","9","","-","R","2010","","","-",""
"QMJHL","Nick Sorensen","32175/nick-sorensen","F","2013","DY","46","0.5652","0.2391","0.8696","13","13","5","26","5","6","1","11","2","1","1","11.40","23.81","13.70","20","40","47","1.0217","70.27","48.65","43","32","57.33","- 2.51","76","51","18.87","2.7643","1994-10-23","18.89","19.19","94","QUE","-","R","2013","ANA (2013) - #45","ANA","ANA","http://pick224.com/images/Q-2013/32175_nick-sorensen2013.png"
"QMJHL","Benjamin Casavant","24498/benjamin-casavant","F","2009","DY","68","0.6471","0.2206","0.8676","26","18","16","44","13","2","5","15","0","0","0","0.00","0.00","17.57","39","59","80","1.1765","74.58","66.10","83","57","59.29","15.24","74","94","20.51","2.5388","1991-01-21","18.65","18.94","17","","-","L","2009","WSH (2009) - #205","WSH","-",""
"QMJHL","Valentin Zykov","33455/valentin-zykov","F","2013","DY","67","0.5970","0.2388","0.8657","30","10","15","40","9","7","2","16","1","1","0","15.23","21.43","16.13","40","58","75","1.1194","71.43","69.64","69","38","64.49","7.08","124","92","17.86","2.9079","1995-05-15","18.33","18.63","73","BAC","-","R","2013","LAK (2013) - #37","LAK","VGK","http://pick224.com/images/Q-2013/33455_valentin-zykov2013.png"
"QMJHL","Jordan Caron","24177/jordan-caron","F","2009","DY","56","0.3929","0.4107","0.8571","16","6","13","22","18","5","6","23","2","1","0","0.00","0.00","17.56","36","48","67","1.1964","48.89","75.56","51","37","57.95","4.83","85","75","20.24","2.5411","1990-11-02","18.87","19.16","27","","-","L","2009","BOS (2009) - #25","BOS","-",""
"QMJHL","Guillaume Goulet","24129/guillaume-goulet","F","2009","DY","68","0.5000","0.3529","0.8529","26","8","6","34","19","5","5","24","0","0","0","0.00","0.00","19.31","45","58","69","1.0147","58.62","77.59","55","68","44.72","7.85","73","125","19.65","2.6041","1990-10-16","18.91","19.21","9","","-","R","2009","","","-",""
"QMJHL","Dmytro Timashov","36283/dmytro-timashov","F","2015","DY","66","0.6212","0.1667","0.8485","14","27","25","41","4","7","8","11","1","3","1","14.00","18.18","14.96","19","56","90","1.3636","78.85","34.62","81","55","59.56","8.55","101","97","18.50","2.7517","1996-10-01","18.96","19.25","88","QUE","-","L","2015","TOR (2015) - #125","TOR","DET","http://pick224.com/images/Q-2015/36283_dmytro-timashov2015.png"
"QMJHL","Charles Hudon","31625/charles-hudon","F","2012","DY","59","0.5932","0.2542","0.8475","20","15","9","35","5","10","7","15","0","0","0","0.00","0.00","12.56","25","50","66","1.1186","70.00","50.00","114","76","60.00","13.33","84","96","18.77","2.7083","1994-06-23","18.23","18.52","10","","-","L","2012","MTL (2012) - #122","MTL","MTL",""
"QMJHL","Dennis Yan","37377/dennis-yan","F","2015","DY","59","0.5932","0.2034","0.8475","23","12","7","35","8","4","5","12","2","1","2","14.94","23.53","16.50","33","50","64","1.0847","74.47","65.96","55","30","64.71","16.37","87","93","17.79","2.8584","1997-04-14","18.42","18.71","11","SHA","-","L","2015","TBL (2015) - #64","TBL","TBL","http://pick224.com/images/Q-2015/37377_dennis-yan2015.png"
"QMJHL","Marc-Olivier Roy","32209/marc-olivier-roy","F","2013","DY","65","0.4923","0.3385","0.8462","16","16","9","32","12","10","3","22","1","0","0","12.80","42.86","18.24","29","55","67","1.0308","59.26","51.85","111","105","51.39","- 12.31","100","57","22.57","2.2496","1994-11-05","18.86","19.16","11","BLB","-","L","2013","EDM (2013) - #56","EDM","-","http://pick224.com/images/Q-2013/32209_marc-olivier-roy2013.png"
"QMJHL","Petr Straka","27516/petr-straka","F","2010","DY","62","0.4839","0.3387","0.8387","15","15","6","30","13","8","6","21","0","1","0","0.00","0.00","16.87","28","52","64","1.0323","58.82","54.90","47","48","49.47","6.69","80","107","17.82","2.8233","1992-06-15","18.25","18.54","23","","-","L","2010","CBJ (2010) - #55","CBJ","-",""
"QMJHL","Filip Chlapik","37714/filip-chlapik","F","2015","DY","64","0.5313","0.2500","0.8281","23","11","11","34","9","7","11","16","1","2","0","16.67","19.57","16.92","33","53","75","1.1719","68.00","64.00","53","65","44.92","- 2.54","84","93","19.77","2.5132","1997-06-03","18.28","18.58","14","CHA","-","L","2015","OTT (2015) - #48","OTT","OTT","http://pick224.com/images/Q-2015/37714_filip-chlapik2015.png"
"QMJHL","Conor Garland","35069/conor-garland","F","2014","DY","51","0.4706","0.2549","0.8235","14","10","10","24","7","6","2","13","3","2","0","11.11","17.95","13.48","24","42","54","1.0588","64.86","56.76","44","49","47.31","2.60","55","68","21.23","2.3274","1996-03-11","18.51","18.81","8","MON","-","R","2014","ARI (2015) - #123","ARI","ARI","http://pick224.com/images/Q-2014/35069_conor-garland2014.png"
"QMJHL","Philippe Maillet","28179/philippe-maillet","F","2011","DY","67","0.6418","0.1791","0.8209","25","18","8","43","6","6","6","12","0","0","0","0.00","0.00","16.85","31","55","69","1.0299","78.18","56.36","69","59","53.91","2.02","110","102","18.03","2.7321","1992-11-07","18.86","19.15","7","","-","L","2011","","","WSH",""
"QMJHL","Kirill Kabanov","27676/kirill-kabanov","F","2010","DY","22","0.2727","0.5455","0.8182","3","3","3","6","7","5","2","12","0","0","0","0.00","0.00","15.63","10","18","23","1.0455","33.33","55.56","12","8","60.00","- 3.64","35","20","17.26","2.8439","1992-07-16","18.16","18.46","7","","-","R","2010","NYI (2010) - #65","NYI","-",""
"QMJHL","Emile Poirier","32362/emile-poirier","F","2013","DY","65","0.5385","0.2000","0.8154","22","13","11","35","8","5","5","13","2","3","1","15.07","25.00","16.93","32","53","70","1.0769","72.92","62.50","54","56","49.09","5.18","83","106","19.52","2.5068","1994-12-14","18.75","19.05","27","GAT","-","L","2013","CGY (2013) - #22","CGY","-","http://pick224.com/images/Q-2013/32362_emile-poirier2013.png"
"QMJHL","Adam Erne","33286/adam-erne","F","2013","DY","68","0.5294","0.2353","0.8088","19","17","9","36","7","9","7","16","2","1","1","10.16","25.93","12.67","28","55","72","1.0588","69.23","50.00","64","47","57.66","6.89","99","96","19.06","2.5463","1995-04-20","18.40","18.70","73","QUE","-","L","2013","TBL (2013) - #33","TBL","DET","http://pick224.com/images/Q-2013/33286_adam-erne2013.png"
"QMJHL","Vincent Dunn","34111/vincent-dunn","F","2013","DY","53","0.6038","0.1509","0.7925","20","12","9","32","3","5","1","8","2","0","0","19.23","27.27","19.84","25","42","52","0.9811","80.00","57.50","57","33","63.33","11.56","102","95","15.87","2.9960","1995-09-14","18.00","18.30","26","VDO","-","L","2013","OTT (2013) - #138","OTT","-","http://pick224.com/images/Q-2013/34111_vincent-dunn2013.png"
"QMJHL","Gabriel Dumont","24086/gabriel-dumont","F","2009","DY","51","0.5490","0.1176","0.7843","21","7","6","28","3","3","3","6","4","2","0","0.00","0.00","12.17","28","40","49","0.9608","82.35","70.59","47","25","65.28","2.92","111","67","16.58","2.8382","1990-10-06","18.94","19.24","40","","-","R","2009","MTL (2009) - #139","MTL","MIN",""
"QMJHL","Michael Bournival","27412/michael-bournival","F","2010","DY","58","0.4310","0.3276","0.7759","15","10","11","25","8","11","6","19","1","0","0","0.00","0.00","10.86","24","45","62","1.0690","56.82","52.27","40","34","54.05","5.03","75","78","18.01","2.5852","1992-05-31","18.29","18.58","78","","-","L","2010","COL (2010) - #71","COL","-",""
"QMJHL","Laurent Dauphin","33101/laurent-dauphin","F","2013","DY","62","0.4032","0.2419","0.7742","12","13","4","25","9","6","4","15","4","4","1","9.02","18.75","12.50","25","48","57","0.9194","62.50","52.50","37","38","49.33","4.57","77","95","18.38","2.5275","1995-03-27","18.47","18.76","27","CHI","-","L","2013","ARI (2013) - #39","ARI","MTL","http://pick224.com/images/Q-2013/33101_laurent-dauphin2013.png"
"QMJHL","Martin Reway","32601/martin-reway","F","2013","DY","47","0.4681","0.1064","0.7660","12","10","7","22","2","3","6","5","8","1","1","11.21","20.00","17.05","22","36","50","1.0638","81.48","51.85","34","33","50.75","9.14","62","87","17.32","2.6529","1995-01-24","18.64","18.94","44","GAT","-","L","2013","MTL (2013) - #116","MTL","-","http://pick224.com/images/Q-2013/32601_martin-reway2013.png"
"QMJHL","Anthony Duclair","34031/anthony-duclair","F","2013","DY","55","0.5636","0.1455","0.7455","17","14","6","31","1","7","3","8","2","0","0","16.04","9.09","16.39","20","41","50","0.9091","79.49","46.15","56","31","64.37","18.51","72","85","17.57","2.5453","1995-08-26","18.05","18.35","10","QUE","-","L","2013","NYR (2013) - #80","NYR","OTT","http://pick224.com/images/Q-2013/34031_anthony-duclair2013.png"
"QMJHL","Tomas Jurco","28347/tomas-jurco","F","2011","DY","60","0.4833","0.2500","0.7333","21","8","9","29","10","5","3","15","0","0","0","0.00","0.00","17.32","31","44","56","0.9333","65.91","70.45","67","20","77.01","13.90","142","83","16.14","2.7266","1992-12-28","18.71","19.01","13","","-","L","2011","DET (2011) - #35","DET","EDM",""
"QMJHL","Andrej Nestrasil","24741/andrej-nestrasil","F","2009","DY","66","0.5000","0.1970","0.7273","16","17","2","33","5","8","7","13","1","1","0","0.00","0.00","14.01","22","48","57","0.8636","71.74","45.65","49","47","51.04","2.31","96","101","17.16","2.5433","1991-02-22","18.56","18.86","11","","-","L","2009","DET (2009) - #75","DET","-",""
"QMJHL","Alex Lavoie","28215/alex-lavoie","F","2011","DY","62","0.5968","0.1290","0.7258","18","19","4","37","6","2","6","8","0","0","0","0.00","0.00","20.17","24","45","55","0.8871","82.22","53.33","62","45","57.94","15.99","73","101","17.92","2.4298","1992-11-17","18.83","19.12","19","","-","R","2011","","","-",""
"QMJHL","Matej Beran","30206/matej-beran","F","2012","DY","68","0.4853","0.2353","0.7206","13","20","7","33","9","7","5","16","0","0","0","0.00","0.00","14.47","22","49","61","0.8971","67.35","44.90","52","60","46.43","10.69","89","160","16.97","2.5484","1993-11-11","18.84","19.14","11","","-","L","2012","","","-",""
"QMJHL","Martin Frk","30076/martin-frk","F","2012","DY","34","0.5294","0.1765","0.7059","11","7","3","18","5","1","2","6","0","0","0","0.00","0.00","18.82","16","24","29","0.8529","75.00","66.67","29","33","46.77","1.24","51","61","18.26","2.3188","1993-10-05","18.94","19.24","91","","-","R","2012","DET (2012) - #49","DET","LAK",""
"QMJHL","Gabryel Boudreau","32842/gabryel-boudreau","F","2013","DY","67","0.5075","0.1642","0.7015","19","15","11","34","2","9","4","11","1","1","1","14.07","16.67","14.67","22","47","63","0.9403","75.56","46.67","59","26","69.41","13.13","130","101","15.31","2.7484","1995-02-21","18.57","18.86","13","BAC","-","L","2013","SJS (2013) - #49","SJS","-","http://pick224.com/images/Q-2013/32842_gabryel-boudreau2013.png"
"QMJHL","Frederik Gauthier","33327/frederik-gauthier","F","2013","DY","62","0.4677","0.1452","0.6935","17","12","14","29","3","6","3","9","2","3","0","17.53","18.75","18.49","22","43","60","0.9677","76.32","52.63","58","37","61.05","9.86","107","102","18.01","2.3112","1995-04-26","18.39","18.68","23","RIM","-","L","2013","TOR (2013) - #21","TOR","TOR","http://pick224.com/images/Q-2013/33327_frederik-gauthier2013.png"
"QMJHL","Marc Olivier Mimar","26125/marc-olivier-mimar","F","2010","DY","68","0.3235","0.3529","0.6912","14","8","9","22","12","12","8","24","1","0","0","0.00","0.00","15.52","27","47","64","0.9412","47.83","56.52","53","72","42.40","6.55","76","136","17.97","2.3079","1991-11-09","18.85","19.14","23","","-","R","2010","","","-",""
"QMJHL","Phillip Danault","28800/phillip-danault","F","2011","DY","64","0.4375","0.1250","0.6875","14","14","20","28","5","3","3","8","4","4","0","0.00","0.00","14.56","23","44","67","1.0469","77.78","52.78","68","56","54.84","2.82","103","95","19.62","2.1028","1993-02-24","18.56","18.85","21","","-","L","2011","CHI (2011) - #26","CHI","MTL",""
"QMJHL","Gabriel Gagne","36430/gabriel-gagne","F","2015","DY","67","0.5224","0.1493","0.6866","26","9","9","35","8","2","3","10","1","0","1","12.62","20.00","13.73","35","46","59","0.8806","77.78","75.56","71","65","52.21","7.32","101","124","19.51","2.1118","1996-11-11","18.84","19.14","27","VIC","-","R","2015","OTT (2015) - #36","OTT","-","http://pick224.com/images/Q-2015/36430_gabriel-gagne2015.png"
"QMJHL","Jonathan Marchessault","24325/jonathan-marchessault","F","2009","DY","62","0.4194","0.2419","0.6774","10","16","6","26","7","8","5","15","1","0","0","0.00","0.00","12.00","18","42","53","0.8548","63.41","41.46","49","16","75.38","13.76","114","71","15.17","2.6786","1990-12-27","18.72","19.01","18","","-","R","2009","","","VGK",""
"QMJHL","Matt Brown","24757/matt-brown","F","2009","DY","41","0.4878","0.1707","0.6585","15","5","0","20","3","4","1","7","0","0","0","0.00","0.00","16.51","18","27","28","0.6829","74.07","66.67","57","57","50.00","- 15.63","63","33","16.70","2.3655","1991-02-24","18.56","18.85","71","","-","L","2009","","","-",""
"QMJHL","Nathan Noel","37821/nathan-noel","F","2015","DY","66","0.3939","0.1970","0.6515","14","12","10","26","7","6","8","13","3","1","1","15.38","17.07","17.02","24","43","62","0.9394","66.67","53.85","45","39","53.57","2.14","108","102","16.15","2.4202","1997-06-21","18.23","18.53","10","SNB","-","R","2015","CHI (2016) - #113","CHI","PHI","http://pick224.com/images/Q-2015/37821_nathan-noel2015.png"
"QMJHL","Christopher Clapperton","30743/christopher-clapperton","F","2012","DY","56","0.5000","0.1250","0.6429","16","12","10","28","2","5","9","7","0","1","0","0.00","0.00","16.98","18","36","55","0.9821","80.00","51.43","51","34","60.00","7.19","94","84","16.87","2.2868","1994-02-22","18.56","18.86","57","","-","L","2012","FLA (2013) - #122","FLA","-",""
"QMJHL","Jean Francois Leblanc","28854/jean-francois-leblanc","F","2011","DY","63","0.4286","0.2063","0.6349","10","17","7","27","9","4","4","13","0","0","0","0.00","0.00","19.39","19","40","51","0.8095","67.50","47.50","45","72","38.46","- 8.72","92","103","18.80","2.0263","1993-03-03","18.53","18.83","28","","-","L","2011","","","-",""
"QMJHL","Alex Barre-Boulet","37639/alex-barre-boulet","F","2015","DY","68","0.4559","0.1471","0.6324","17","14","3","31","6","4","4","10","0","2","1","16.04","16.22","15.86","23","43","51","0.7500","75.61","56.10","48","58","45.28","0.84","88","110","17.60","2.1560","1997-05-21","18.32","18.61","19","DRU","-","L","2015","","","TBL","http://pick224.com/images/Q-2015/37639_alex-barre-boulet2015.png"
"QMJHL","Jess Tanguy","27031/jess-tanguy","F","2010","DY","32","0.4375","0.1875","0.6250","10","4","4","14","5","1","3","6","0","0","0","0.00","0.00","28.30","15","20","27","0.8438","70.00","75.00","23","23","50.00","4.31","53","63","14.44","2.5972","1992-04-07","18.44","18.73","97","","-","L","2010","","","-",""
"QMJHL","Alexandre Goulet","35264/alexandre-goulet","F","2014","DY","66","0.5152","0.0758","0.6212","21","13","4","34","4","1","2","5","1","1","1","20.19","25.00","19.12","26","41","48","0.7273","87.18","64.10","55","50","52.38","13.83","69","110","17.19","2.1679","1996-04-05","18.44","18.74","19","CHA","-","L","2014","","","-","http://pick224.com/images/Q-2014/35264_alexandre-goulet2014.png"
"QMJHL","Yakov Trenin","36690/yakov-trenin","F","2015","DY","58","0.4828","0.1207","0.6207","12","16","19","28","6","1","11","7","0","1","1","8.33","17.65","9.52","18","36","67","1.1552","80.00","51.43","65","43","60.19","9.62","90","88","20.09","1.8538","1997-01-13","18.67","18.97","32","GAT","-","L","2015","NSH (2015) - #55","NSH","NSH","http://pick224.com/images/Q-2015/36690_yakov-trenin2015.png"
"QMJHL","Gabriel Bourque","24034/gabriel-bourque","F","2009","DY","60","0.3833","0.2167","0.6167","10","13","13","23","11","2","11","13","1","0","0","0.00","0.00","16.18","22","37","61","1.0167","63.89","58.33","53","50","51.46","17.94","60","119","18.92","1.9561","1990-09-23","18.98","19.27","14","","-","L","2009","NSH (2009) - #132","NSH","WPG",""
"QMJHL","Philippe Sanche","33543/philippe-sanche","F","2013","DY","62","0.4355","0.1613","0.6129","12","15","8","27","5","5","6","10","1","0","1","14.63","29.41","17.65","18","38","53","0.8548","72.97","45.95","44","28","61.11","1.28","140","94","14.99","2.4534","1995-05-29","18.29","18.59","15","BLB","-","R","2013","","","-","http://pick224.com/images/Q-2013/33543_philippe-sanche2013.png"
"QMJHL","Stanislav Galiyev","26425/stanislav-galiyev","F","2010","DY","67","0.4179","0.1940","0.6119","8","20","13","28","7","6","6","13","0","0","0","0.00","0.00","8.57","15","41","60","0.8955","68.29","36.59","115","44","72.33","11.82","95","62","19.80","1.8543","1992-01-17","18.66","18.96","97","","-","R","2010","WSH (2010) - #86","WSH","-",""
"QMJHL","Denis Kamayev","30849/denis-kamayev","F","2012","DY","67","0.4328","0.1791","0.6119","15","14","6","29","6","6","8","12","0","0","0","0.00","0.00","13.29","21","41","55","0.8209","70.73","51.22","45","63","41.67","- 0.72","103","140","17.19","2.1358","1994-03-06","18.53","18.82","23","","-","L","2012","","","-",""
"QMJHL","Anton Zlobin","28778/anton-zlobin","F","2011","DY","59","0.4237","0.1864","0.6102","14","11","5","25","9","2","4","11","0","0","0","0.00","0.00","16.55","23","36","45","0.7627","69.44","63.89","45","32","58.44","5.97","106","96","15.97","2.2931","1993-02-22","18.56","18.86","79","","-","R","2011","PIT (2012) - #173","PIT","-",""
"QMJHL","Raphael Bussieres","30180/raphael-bussieres","F","2012","DY","56","0.5000","0.1071","0.6071","18","10","8","28","3","3","2","6","0","0","0","0.00","0.00","14.29","21","34","44","0.7857","82.35","61.76","52","54","49.06","5.74","68","89","18.39","1.9813","1993-11-05","18.86","19.16","28","","-","L","2012","MIN (2012) - #46","MIN","-",""
"QMJHL","Alexandros Soumakis","30673/alexandros-soumakis","F","2012","DY","48","0.5208","0.0625","0.6042","18","7","1","25","1","2","2","3","1","0","0","0.00","0.00","20.83","20","29","32","0.6667","89.29","67.86","37","39","48.68","5.41","74","97","15.44","2.3472","1994-02-15","18.58","18.88","22","","-","L","2012","","","-",""
"QMJHL","Michael Chaput","27037/michael-chaput","F","2010","DY","68","0.4265","0.1765","0.6029","18","11","10","29","10","2","4","12","0","0","0","0.00","0.00","16.87","28","41","55","0.8088","70.73","68.29","49","54","47.57","5.54","95","131","17.46","2.0719","1992-04-09","18.43","18.73","26","","-","L","2010","PHI (2010) - #89","PHI","ARI",""
"QMJHL","Olivier Archambault","28725/olivier-archambault","F","2011","DY","65","0.4308","0.1385","0.5846","14","14","9","28","5","4","6","9","1","0","0","0.00","0.00","16.53","20","38","53","0.8154","75.68","51.35","53","57","48.18","6.31","85","118","17.39","2.0174","1993-02-16","18.58","18.88","10","","-","L","2011","MTL (2011) - #108","MTL","-",""
